domain,code,title,description,skill,score
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain client information or service records.,4
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,"Assemble machine tools, parts, or fixtures.",1
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Verify accuracy of records.,3
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain operational records.,3
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain personnel records.,3
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain repair or maintenance records.,1
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain call records.,1
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain client records.,2
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Train others on work processes.,1
Business Management and Accounting,ACC 122,accounting principles i,the course covers the fundamental principles of accounting and the practical use of accounting tools and techniques topics covered include the definition and scope of accounting accounting records and processes books of original and subsequent entry work sheets adjusting and closing entries accounting for cash accounting for negotiable instruments and accounting for plant assets an investigation is made of accounting for service businesses and trading concerns,Maintain operational records or records systems.,2
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Analyze budgetary or accounting data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Calculate financial data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Verify accuracy of financial or transactional data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Conduct quantitative failure analyses of operational data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Collect archival data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Verify accuracy of data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Compile operational data.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Download data.,3
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Write reports or evaluations.,4
Business Management and Accounting,ACC 222,accounting principles ii,this continuation of accounting i progresses from elementary to more advanced accounting concepts and conventions including the use of accounting data in managerial decision making among topics covered are voucher system partnership accounting payroll preparation and taxes and accounting for corporations study is made of accounting involved in the interpretation of financial statements budgetary control statement of cash flows and management reports and analyses,Write operational reports.,4
Business Management and Accounting,ACC 231,accounting applications on microcomputers,this course provides accounting students with the opportunity to solve accounting problems through the use of microcomputers areas in which students will prepare computerized accounting records and reports include journals ledgers trial balance accounts receivable accounts payable and payroll the course will introduce students to basic accounting documentation and processing flowchart s of different accounting functions,Maintain records of customer accounts.,3
Business Management and Accounting,ACC 231,accounting applications on microcomputers,this course provides accounting students with the opportunity to solve accounting problems through the use of microcomputers areas in which students will prepare computerized accounting records and reports include journals ledgers trial balance accounts receivable accounts payable and payroll the course will introduce students to basic accounting documentation and processing flowchart s of different accounting functions,Disburse funds from clients accounts to creditors.,2
Business Management and Accounting,ACC 231,accounting applications on microcomputers,this course provides accounting students with the opportunity to solve accounting problems through the use of microcomputers areas in which students will prepare computerized accounting records and reports include journals ledgers trial balance accounts receivable accounts payable and payroll the course will introduce students to basic accounting documentation and processing flowchart s of different accounting functions,Prepare operational reports or records.,3
Business Management and Accounting,ACC 231,accounting applications on microcomputers,this course provides accounting students with the opportunity to solve accounting problems through the use of microcomputers areas in which students will prepare computerized accounting records and reports include journals ledgers trial balance accounts receivable accounts payable and payroll the course will introduce students to basic accounting documentation and processing flowchart s of different accounting functions,Prepare documentation for permits or licenses.,3
Business Management and Accounting,ACC 231,accounting applications on microcomputers,this course provides accounting students with the opportunity to solve accounting problems through the use of microcomputers areas in which students will prepare computerized accounting records and reports include journals ledgers trial balance accounts receivable accounts payable and payroll the course will introduce students to basic accounting documentation and processing flowchart s of different accounting functions,Prepare regulatory or compliance documentation.,3
